comment_sentiment_type,comment_sentiment_name,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_sentiment_ratio,overall_ratio
neutral,一般,导演叙事,导演能力强,26,102.4323,107.12,0.0114,0.0038
positive,好评,人物关系,友情关系,12,101.9445,3605.17,0.005,0.0017
negative,差评,人物关系,爱情关系,27,101.1951,58.81,0.0121,0.0039
negative,差评,剧情内容,剧情老套,28,100.0035,30.96,0.0126,0.0041
negative,差评,主题价值,自由希望,23,98.9308,170.74,0.0103,0.0033
positive,好评,类型题材,喜剧效果,13,95.6083,1528.08,0.0055,0.0019
neutral,一般,导演叙事,表达晦涩,20,93.0325,273.4,0.0087,0.0029
positive,好评,情怀记忆,多年重看,11,91.4907,2109.55,0.0046,0.0016
neutral,一般,情绪共鸣,治愈,21,88.6501,184.1,0.0092,0.003
neutral,一般,画面声音,画面优秀,24,88.0229,40.38,0.0105,0.0035
neutral,一般,剧情内容,逻辑问题,19,87.471,162.0,0.0083,0.0028
negative,差评,人物表演,演员加分,21,85.5747,96.33,0.0094,0.003
positive,好评,剧情内容,逻辑问题,11,84.0467,2407.73,0.0046,0.0016
neutral,一般,导演叙事,镜头语言好,18,83.4009,252.72,0.0079,0.0026
positive,好评,文化背景,中国语境,10,82.8959,3068.2,0.0042,0.0014
positive,好评,导演叙事,叙事优秀,10,82.4298,2974.1,0.0042,0.0014
neutral,一般,主题价值,人性思考,22,81.978,124.0,0.0096,0.0032
neutral,一般,情绪共鸣,感动,18,81.0655,132.56,0.0079,0.0026
positive,好评,剧情内容,剧情理想化,10,80.9574,2454.7,0.0042,0.0014
positive,好评,情绪共鸣,压抑,10,80.2404,1705.7,0.0042,0.0014
positive,好评,类型题材,战争历史,10,80.2176,1847.4,0.0042,0.0014
negative,差评,节奏体验,观看疲劳,28,75.9655,73.57,0.0126,0.0041
negative,差评,主题价值,人生意义,21,74.4475,29.81,0.0094,0.003
neutral,一般,类型题材,动画题材,21,73.3136,105.67,0.0092,0.003
negative,差评,文化背景,历史文化,20,72.7882,93.55,0.009,0.0029
negative,差评,导演叙事,镜头语言好,16,70.9597,120.88,0.0072,0.0023
positive,好评,情怀记忆,童年回忆,9,70.3745,3824.89,0.0038,0.0013
positive,好评,文化背景,美国语境,10,69.5824,1276.6,0.0042,0.0014
negative,差评,类型题材,原著改编,23,69.2575,42.78,0.0103,0.0033
negative,差评,类型题材,战争历史,16,68.3874,67.56,0.0072,0.0023
positive,好评,人物表演,台词经典,8,67.9517,4144.0,0.0034,0.0012
positive,好评,类型题材,犯罪悬疑,8,67.39,3318.0,0.0034,0.0012
