primary_genre,main_aspect,main_reason,review_count,weighted_score,avg_like_count,within_genre_ratio
爱情,人物表演,演技好,1,5.1897,65.0,0.0035
爱情,导演叙事,表达说教,1,4.7612,42.0,0.0035
爱情,主题价值,现实社会,1,4.7377,41.0,0.0035
爱情,剧情内容,剧情无聊,1,4.5835,35.0,0.0035
爱情,人物关系,性别表达,1,4.2958,26.0,0.0035
爱情,剧情内容,剧情反转,1,3.9444,18.0,0.0035
爱情,类型题材,原著改编,1,3.1972,8.0,0.0035
爱情,导演叙事,叙事优秀,1,2.9459,6.0,0.0035
爱情,人物关系,人物命运,1,1.0,0.0,0.0035
爱情,人物关系,友情关系,1,1.0,0.0,0.0035
犯罪,整体观感,好看推荐,20,90.5747,1584.65,0.2703
犯罪,整体观感,经典神作,11,68.0537,1801.91,0.1486
犯罪,整体观感,失望难看,9,31.6031,381.89,0.1216
犯罪,人物表演,角色鲜明,5,28.8935,916.4,0.0676
犯罪,整体观感,一般还行,5,18.9381,646.0,0.0676
犯罪,剧情内容,结尾震撼,2,14.7521,608.0,0.027
犯罪,剧情内容,剧情精彩,3,14.7271,864.0,0.0405
犯罪,导演叙事,表达晦涩,3,13.9866,2462.67,0.0405
犯罪,情怀记忆,怀旧情怀,2,10.9307,218.0,0.027
犯罪,整体观感,无感不喜欢,2,8.9509,89.0,0.027
犯罪,主题价值,时代命运,1,8.6948,2196.0,0.0135
犯罪,类型题材,喜剧效果,3,8.663,6.33,0.0405
犯罪,观看体验,影院体验,1,8.4989,1805.0,0.0135
犯罪,画面声音,画面优秀,1,8.4158,1661.0,0.0135
犯罪,剧情内容,逻辑问题,1,5.4543,85.0,0.0135
犯罪,剧情内容,剧情无聊,2,4.708,3.0,0.027
犯罪,情怀记忆,童年回忆,1,4.3322,27.0,0.0135
犯罪,画面声音,配乐优秀,1,3.7081,14.0,0.0135
犯罪,情绪共鸣,震撼,1,1.0,0.0,0.0135
科幻,整体观感,好看推荐,30,143.412,681.57,0.219
科幻,剧情内容,剧情精彩,22,103.0159,172.73,0.1606
科幻,整体观感,经典神作,10,48.1399,488.0,0.073
科幻,整体观感,失望难看,7,46.5473,1451.57,0.0511
科幻,类型题材,科幻设定,5,36.2415,1083.0,0.0365
科幻,剧情内容,结尾震撼,8,34.8801,408.0,0.0584
科幻,整体观感,一般还行,8,32.5028,35.62,0.0584
科幻,导演叙事,表达晦涩,5,32.2132,753.8,0.0365
科幻,人物表演,角色鲜明,4,18.0865,45.25,0.0292
科幻,人物关系,爱情关系,3,15.8687,115.33,0.0219
科幻,主题价值,时代命运,2,14.844,1759.5,0.0146
科幻,人物表演,演员加分,3,12.2533,32.0,0.0219
科幻,节奏体验,观看疲劳,2,11.8067,166.5,0.0146
科幻,剧情内容,剧情反转,2,11.4051,611.5,0.0146
科幻,情怀记忆,怀旧情怀,2,11.2903,1806.0,0.0146
科幻,整体观感,无感不喜欢,3,9.789,74.67,0.0219
科幻,类型题材,战争历史,1,9.0756,3214.0,0.0073
科幻,画面声音,特效优秀,1,8.3265,1519.0,0.0073
科幻,观看体验,影院体验,2,8.2691,23.5,0.0146
科幻,情怀记忆,多年重看,2,7.3981,14.0,0.0146
科幻,剧情内容,剧情老套,2,6.6822,11.0,0.0146
科幻,类型题材,动画题材,1,6.6058,271.0,0.0073
科幻,导演叙事,表达说教,1,4.6889,39.0,0.0073
科幻,导演叙事,导演能力强,1,3.9444,18.0,0.0073
科幻,剧情内容,剧情理想化,1,3.3979,10.0,0.0073
科幻,情绪共鸣,感动,1,3.3979,10.0,0.0073
科幻,人物表演,台词经典,1,3.1972,8.0,0.0073
科幻,文化背景,美国语境,1,3.1972,8.0,0.0073
科幻,主题价值,人生意义,1,3.0794,7.0,0.0073
科幻,剧情内容,剧情完整,1,3.0794,7.0,0.0073
科幻,画面声音,配乐优秀,1,2.9459,6.0,0.0073
科幻,人物表演,表演尴尬,1,2.7918,5.0,0.0073
科幻,画面声音,画面优秀,1,2.7918,5.0,0.0073
科幻,导演叙事,镜头语言好,1,2.3863,3.0,0.0073
纪录片,整体观感,好看推荐,13,50.9724,108.46,0.2063
纪录片,类型题材,战争历史,4,30.3049,1500.75,0.0635
纪录片,主题价值,人性思考,4,25.3549,465.75,0.0635
纪录片,剧情内容,逻辑问题,4,24.992,348.0,0.0635
纪录片,剧情内容,结尾震撼,4,22.2174,294.25,0.0635
纪录片,节奏体验,节奏平淡,3,16.3258,232.67,0.0476
纪录片,整体观感,一般还行,5,15.3376,73.8,0.0794
纪录片,主题价值,人生意义,2,14.5474,766.0,0.0317
